datetime,Q1,Q2,Q3,Q4,Q5
2020-10-09,0.007310689,-0.0028626507,-0.003966715,-0.0018884802,0.0009082639
2020-10-12,-0.0038162684,-0.0054357625,-0.008849094,-0.006111553,-0.006977861
2020-10-13,-0.006744474,-0.00831772,-0.0021410072,-0.0062455432,-0.0067137834
2020-10-14,-0.008636069,-0.003971126,0.0005215818,-0.0034271635,-0.00274319
2020-10-15,-0.014056811,-0.007151483,-0.0057846084,-0.005718908,-0.010460952
2020-10-16,0.0071149366,0.00750723,0.008938858,0.005842827,0.014421663
2020-10-19,-0.0071084755,-0.008804393,-0.0057124905,-0.011301233,-0.014560455
2020-10-20,-0.0055032885,-0.0019066817,-0.004704412,-0.003767323,-0.00459053
2020-10-21,-0.009778893,-0.007269119,-0.010901147,-0.011071143,-0.020919561
2020-10-22,-0.0048707663,-0.0031871372,-0.003235413,-0.0023440616,0.0045856787
2020-10-23,-0.005717161,-0.0053119496,-0.004125429,0.0015102994,0.006656579
2020-10-26,0.0038761764,0.00017515362,0.0045569125,0.00497114,0.0056221616
2020-10-27,-0.0017304724,-4.0156247e-05,0.0006734952,-0.0005254996,0.00037584364
2020-10-28,-0.021266956,-0.022059588,-0.022843542,-0.024970504,-0.023836995
2020-10-29,0.016726043,-0.0020604387,0.0024378442,-0.0019529371,0.000866034
2020-10-30,0.014517662,0.019820534,0.01997999,0.016218776,0.016332198
2020-11-02,0.0023629172,-0.0032264555,-0.0045622545,-0.0038184875,-0.0041855383
2020-11-03,0.022394326,0.015484652,0.01809901,0.019377705,0.021662557
2020-11-04,-0.007272386,-0.0046073277,-0.003047574,-0.004032942,-0.0113812415
2020-11-05,0.017932048,0.017650245,0.020958373,0.018660009,0.016249932
2020-11-06,-0.0033922016,-0.0071686227,-0.0076045925,-0.009501786,-0.0077671795
2020-11-09,-0.018219622,-0.010007102,-2.3235083e-05,-0.0070290114,-0.007102278
2020-11-10,0.0058398903,0.0015179783,0.0013940877,0.0018498265,-0.00061497686
2020-11-11,-0.006699435,-0.0059462255,0.000867719,-0.0021623725,0.0040761824
2020-11-12,0.022743259,0.015057665,0.011775732,0.014145998,0.009963389
2020-11-13,-0.0049831043,-0.006391108,-0.0007221049,-0.0032971285,-0.008358314
2020-11-16,0.005474691,0.005033945,0.0008400452,0.0019035002,0.00013885439
2020-11-17,-0.0067642992,0.00058670656,-6.461442e-05,0.005466319,0.0064929263
2020-11-18,0.018162929,0.007520094,0.0048579937,0.006907784,0.009723908
2020-11-19,0.011913058,0.0088627,0.00650648,0.010522464,0.003114826
2020-11-20,0.0076560574,-0.0011386347,-0.001336881,-0.0009820985,-0.0040002726
2020-11-23,-0.023751397,-0.014995132,-0.013830531,-0.010324635,-0.016080389
2020-11-24,-0.0034311123,-0.0013914097,-0.0005337286,0.0006106327,-0.003363225
2020-11-25,-0.0011785859,0.0018654246,0.0028190746,0.005648668,0.0030093628
2020-11-26,-0.0016595047,-0.008295417,-0.0036290698,-0.002681892,-0.007043126
2020-11-27,0.014938011,0.014265253,0.015966155,0.015689129,0.018002784
2020-11-30,0.0016523743,0.00299189,0.0027671494,0.0017410716,0.0016293346
2020-12-01,-0.0017695129,-0.0012977105,0.003015254,-0.0004196438,-0.0036134827
2020-12-02,0.0036799926,0.0052605537,-0.0009335464,0.00020967891,0.0017213296
2020-12-03,-0.0024343748,-0.008476151,-0.011382332,-0.008710379,-0.011314053
2020-12-04,-0.0054909824,0.00056444696,-0.0029490807,-0.0018852697,-0.0008130366
2020-12-07,-0.01530503,-0.018414754,-0.020774087,-0.018920425,-0.01799952
2020-12-08,-5.453229e-06,0.0015154112,-0.0024137702,0.0014842707,0.004317064
2020-12-09,-0.0180027,-0.018670194,-0.013932052,-0.015864376,-0.01847286
2020-12-10,0.007956889,0.003124582,0.008321305,5.2437783e-05,0.012604509
2020-12-11,0.00030199945,0.00045177757,0.004742154,-0.0029785568,0.0024724638
2020-12-14,-0.0052640312,-0.008227741,-0.009643961,-0.002860722,-0.004142918
2020-12-15,0.01031615,0.013310629,0.008649352,0.012674787,0.015710363
2020-12-16,-0.0024626274,-0.0046322956,0.0014788121,-0.0009069818,-0.00781568
2020-12-17,0.019080732,0.009260761,0.00805309,0.015408247,0.015031414
2020-12-18,-0.026423678,-0.023179311,-0.019737983,-0.021314252,-0.021808924
2020-12-21,0.014385386,0.007811324,0.0033356047,0.0027455979,0.0022884207
2020-12-22,-0.017885312,-0.017571438,-0.017251132,-0.010318232,-0.018506289
2020-12-23,0.018571176,0.0028962856,0.011183262,0.011386449,0.00840575
2020-12-24,-0.0067516053,-0.0072377957,-0.0094139865,-0.011910442,-0.010185762
2020-12-25,-0.029751396,0.0019909518,0.0067800917,0.0040161354,0.005880271
2020-12-28,0.014239308,0.005073614,0.0045715775,0.006442749,0.006203046
2020-12-29,0.013275871,0.013983572,0.0093655195,0.012283765,0.017363014
2020-12-30,0.015122891,0.009660694,0.00537862,0.009251241,0.014332823
2020-12-31,0.006750856,0.005170662,0.0033381635,0.003956252,0.009630494
2021-01-04,-0.0036640621,-0.0038995345,-0.0047780704,-0.008508891,-0.00036646426
2021-01-05,0.0067464276,-0.0053541907,-0.0077391975,-0.015062089,-0.01450547
