net_ann,excess_ann,excess_ir,excess_vol,net_sharpe,net_mdd,excess_mdd,turnover,cost_ann,topk,n_drop
12.551931525304106,4.401154601063981,0.4446189274485353,9.898711749228028,0.5656274492618362,-36.521886047897,-15.697204060267467,6.808517722949141,2.5656410209181164,30,1
10.870018686127072,2.719241761886946,0.32607136941346243,8.339406697307775,0.5281091569009397,-34.75099165499177,-11.758656168607828,4.070522593256825,1.5301454768231328,50,1
7.763066105597629,-0.3877108186424957,-0.05527737709219519,7.013914896791258,0.3704864952054476,-36.00260016048979,-14.287087257945796,2.5251905682328286,0.9457743541853713,60,1
6.691129344770662,-1.4596475794694612,-0.22113134524625097,6.600817165219176,0.3363026073369713,-33.99596257388351,-14.904508768923597,1.9443523093291246,0.7260978624386824,80,1
7.481358630478208,-0.669418293761919,-0.10145935156773286,6.597896432592757,0.37314385373110803,-30.20692844132388,-17.179704284876806,1.6507523625287381,0.6150525886356718,100,1
6.331765799870176,-1.8190111243699465,-0.2895053780059028,6.283168682043821,0.32617689833540564,-32.027703651703064,-16.91721052952341,1.3619605560692094,0.5058365259590757,120,1
6.294555015699298,-1.8562219085408287,-0.3343069591680411,5.552447706025136,0.32113587057648924,-34.37373299523547,-13.650936084849864,1.0870834224324164,0.40187878592191373,150,1
8.17213772934588,0.021360805105757906,0.004046687312892102,5.278590475153782,0.416978453001296,-30.669213355293067,-11.64552903552466,0.9043596371937628,0.3327454000257299,200,1
9.386799326370065,1.2360224021299426,0.11923669803427345,10.366124041565289,0.413108128187368,-35.53319553159137,-20.751208877438778,13.10845739917891,4.948239952815028,30,2
9.761046258857613,1.61026933461749,0.19305221450421084,8.341107812479233,0.45550217545074284,-32.391694809418624,-15.799627884990407,8.064267032189663,3.040561764585315,50,2
10.139819169435874,1.9890422451957446,0.2590345651120985,7.678675022906602,0.4858695920835263,-30.390208742126912,-14.404617565873668,6.764531319412938,2.5490111463753804,60,2
9.674552255037659,1.5237753307975417,0.2277260405857282,6.691265201284311,0.4692539218570376,-31.127248030278654,-11.36733734407278,3.312447546325598,1.2437033429691304,80,2
8.089231543584392,-0.061545380655732555,-0.009823896764197346,6.264864354034269,0.39985798165638803,-32.79940310325347,-12.131926176792895,2.6920216610458847,1.0090111824619872,100,2
8.310599689917094,0.15982276567696993,0.02808979798294881,5.689708618552054,0.40951469323544765,-32.15100214805149,-13.629692997480936,2.2873590029294846,0.8559574349408591,120,2
8.33338839284689,0.18261146860676958,0.03446129751766133,5.299030557778089,0.41944410122611553,-31.28621334968419,-11.546159198331418,1.8467019931383701,0.6892081822819325,150,2
8.499126256565964,0.34834933232583715,0.07364558441251819,4.7300776428712155,0.4323460579844355,-29.577745421339984,-12.49472200272228,1.426869171601785,0.5304051597794677,200,2
