name,topk,n_drop,hold_thresh,excess_net_ann,excess_ir,gross_excess_ann,turnover,cost_ann,net_ann,net_sharpe,net_mdd
baseline,50,5,1,-0.9717294395725209,-0.11769136506945461,6.738787949475037,20.412417423763916,7.710517389047558,1.6933901286415305,0.08804314380173578,-47.04340414011959
T1,50,2,1,2.0186476677696676,0.25676014135139624,5.2267089083144045,8.50718362017195,3.208061240544736,4.6837672359837175,0.24838276173469478,-39.89229380811231
T2,50,1,1,2.814121561824373,0.36822739031465934,4.52230640738882,4.541277127705032,1.7081848455644477,5.479241130038423,0.2938699544193227,-35.94975967878914
T3,50,2,5,1.985851790480741,0.24113210990380946,4.681665632018021,7.152732626266174,2.695813841537281,4.6509713586947905,0.24118441170633004,-41.16285608291709
T4,50,1,10,1.9878467714885546,0.20894455697402697,3.3063962850547886,3.5109323689075684,1.3185495135662326,4.6529663397026075,0.23321943599961897,-41.0015462890078
T5,30,2,5,1.278147382345983,0.12219257865871493,5.30891329292127,10.681598781117447,4.030765910575287,3.9432669505600337,0.18590456081688433,-54.84082042474232
