,excess_net_ann,excess_ir,gross_excess_ann,turnover,cost_ann,net_sharpe,net_mdd,IC,RankIC,n_factor
全因子(158),2.814121561824373,0.36822739031465934,4.52230640738882,4.541277127705032,1.7081848455644477,0.2938699544193227,-35.94975967878914,0.028901543758177477,0.027648762432036598,158.0
精简因子,2.252271240104644,0.2886697781017395,3.9730660851248745,4.574622844659974,1.7207948450202313,0.2556088562457486,-38.73224212414933,0.029035272558187036,0.027404397150464083,114.0
